epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
77,2982.02,2.08561,3.548,2.38063,0.50471,0.00378,0.00371,0.00111,2.98319,4.73705,3.66015,0.00144161,0.00144161,0.00144161
78,3020.54,2.04906,3.52687,2.35159,0.00234,0.17896,0.0035,0.00111,2.98949,4.75243,3.67913,0.00133695,0.00133695,0.00133695
79,3059.54,2.06328,3.52869,2.35399,0.50609,0.00336,0.00373,0.00112,2.99687,4.7519,3.69344,0.00123596,0.00123596,0.00123596
80,3098.18,2.06892,3.5285,2.35971,0.51121,0.00545,0.00397,0.00112,2.99911,4.75665,3.6932,0.00113873,0.00113873,0.00113873
81,3136.88,2.07804,3.53077,2.35957,0.5106,0.00545,0.00412,0.0012,3.00228,4.7632,3.70826,0.00104537,0.00104537,0.00104537
82,3175.69,2.06456,3.53171,2.35325,0.50921,0.00503,0.00383,0.00113,2.9947,4.75497,3.67931,0.000955951,0.000955951,0.000955951
83,3214.55,2.0674,3.545,2.3671,0.50871,0.00461,0.00399,0.00126,2.9789,4.75237,3.6794,0.000870577,0.000870577,0.000870577
84,3252.91,2.05114,3.51701,2.34637,0.51079,0.00587,0.00429,0.00121,2.99105,4.7694,3.71801,0.000789327,0.000789327,0.000789327
85,3295.39,2.0435,3.50514,2.34409,0.51043,0.00587,0.00399,0.00115,2.99162,4.7707,3.7255,0.000712282,0.000712282,0.000712282
86,3336.72,2.05067,3.51699,2.34864,0.50954,0.00545,0.0038,0.00117,2.98605,4.77632,3.72076,0.000639518,0.000639518,0.000639518
87,3375.74,2.05675,3.5203,2.34854,0.51022,0.00545,0.00402,0.00117,2.99123,4.78242,3.71645,0.000571106,0.000571106,0.000571106
88,3414.83,2.06575,3.53449,2.35996,0.5113,0.00587,0.00418,0.00117,2.99763,4.75952,3.71144,0.000507115,0.000507115,0.000507115
89,3453.92,2.05453,3.53169,2.34844,0.51102,0.00545,0.00419,0.00118,2.996,4.76805,3.72154,0.000447606,0.000447606,0.000447606
90,3492.72,2.04874,3.52195,2.35107,0.51046,0.00503,0.00403,0.00119,2.99131,4.75632,3.71697,0.00039264,0.00039264,0.00039264
91,3543.48,2.17056,3.87411,2.48098,0.50504,0.00378,0.00333,0.00107,2.99884,4.72319,3.75108,0.00034227,0.00034227,0.00034227
92,3581.14,2.11359,3.70648,2.43767,0.50658,0.00545,0.00393,0.00128,2.98148,4.67736,3.7425,0.000296546,0.000296546,0.000296546
93,3619.67,2.09575,3.6675,2.43592,0.50629,0.00545,0.00464,0.00146,2.96306,4.672,3.72008,0.000255513,0.000255513,0.000255513
94,3657.75,2.09793,3.64729,2.44187,0.00271,0.18369,0.00448,0.00141,2.95461,4.67814,3.71179,0.000219212,0.000219212,0.000219212
95,3695.96,2.09036,3.63416,2.43292,0.25417,0.01426,0.00445,0.00138,2.95024,4.68751,3.70711,0.000187678,0.000187678,0.000187678
96,3734.77,2.08628,3.6279,2.42776,0.50532,0.00461,0.0044,0.00137,2.95057,4.69078,3.70095,0.000160943,0.000160943,0.000160943
97,3773.09,2.07416,3.6206,2.42707,0.50608,0.00461,0.00449,0.00139,2.94834,4.69725,3.70241,0.000139032,0.000139032,0.000139032
98,3811.38,2.07584,3.63156,2.42665,0.50579,0.00461,0.00375,0.00116,2.94633,4.70349,3.69998,0.000121968,0.000121968,0.000121968
99,3849.63,2.08689,3.60796,2.44122,0.50605,0.00461,0.00355,0.0011,2.94438,4.70602,3.7009,0.000109768,0.000109768,0.000109768
100,3888.34,2.07741,3.59849,2.42506,0.50643,0.00461,0.0035,0.00109,2.94547,4.71192,3.70316,0.000102443,0.000102443,0.000102443
